readmission_reduction_id,provider_id,measure_name,number_of_discharges,footnote,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_readmissions,start_date,end_date
J10071,100084,READM-30-AMI-HRRP,306,,1.172,19.1,16.3,66,7/1/09,6/30/12
J10072,100086,READM-30-HF-HRRP,858,,1.0285,22,21.4,190,7/1/09,6/30/12
J10073,100087,READM-30-PN-HRRP,693,,0.8985,14.3,15.9,93,7/1/09,6/30/12
J10074,100088,READM-30-AMI-HRRP,72,,0.9579,21.1,22,13,7/1/09,6/30/12
J10075,100090,READM-30-HF-HRRP,168,,0.9028,22.5,24.9,32,7/1/09,6/30/12
J10076,100092,READM-30-PN-HRRP,140,,1.0352,19.3,18.6,29,7/1/09,6/30/12
J10077,100093,READM-30-AMI-HRRP,232,,1.007,18,17.8,42,7/1/09,6/30/12
J10078,100099,READM-30-HF-HRRP,516,,0.8957,20,22.3,97,7/1/09,6/30/12
J10079,10009,READM-30-PN-HRRP,510,,0.9419,17.1,18.2,84,7/1/09,6/30/12
J1008,100102,READM-30-AMI-HRRP,47,,0.9874,16.1,16.3,0,7/1/09,6/30/12
J10080,100105,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10081,100106,READM-30-HF-HRRP,150,,1.2587,27.9,22.2,55,7/1/09,6/30/12
J10082,100107,READM-30-PN-HRRP,111,,1.0923,19.8,18.1,27,7/1/09,6/30/12
J10083,100109,READM-30-AMI-HRRP,113,,0.9747,16.1,16.5,17,7/1/09,6/30/12
J10084,10011,READM-30-HF-HRRP,261,,0.9263,20.8,22.4,50,7/1/09,6/30/12
J10085,100110,READM-30-PN-HRRP,223,,0.9859,17.9,18.1,39,7/1/09,6/30/12
J10086,100113,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10087,100117,READM-30-HF-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10088,100118,READM-30-PN-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10089,10012,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J1009,100121,READM-30-HF-HRRP,84,,0.915,18.6,20.4,11,7/1/09,6/30/12
J10090,100122,READM-30-HF-HRRP,65,,0.9485,21.3,22.5,11,7/1/09,6/30/12
